,Subject,Timepoint,Subgraph_Index,Number_R2,Image_R2,Word_R2
0,0,0,0,0.7940548851605723,0.5895555207765355,0.20620447909543835
1,0,0,1,0.7334057456308144,0.5526264344221996,0.1884989176531384
2,0,0,2,0.7431960390773089,0.5485986173771572,0.18221041970408577
3,0,0,3,0.834562421268249,0.6128950425009104,0.2144033637465155
4,0,0,4,0.797063755685741,0.5912685541231907,0.21347791599491817
5,0,0,5,0.8069830768041999,0.5973863107232469,0.21846378240897024
6,0,0,6,0.8133802321872411,0.6057474722032999,0.21590357582483052
7,0,0,7,0.8159002544532221,0.6192640097181613,0.20859231043714677
8,0,0,8,0.8271612473140334,0.6061948257643972,0.18333751110785587
9,0,0,9,0.8510929916677952,0.6170421775352046,0.2131996341022171
10,0,0,10,0.7570744408312279,0.5736976770039357,0.19278150335432254
11,0,0,11,0.8182744060144957,0.6151375740601011,0.2133959356963218
12,0,0,12,0.8102488017130541,0.6044057224526046,0.2034956756069835
13,0,0,13,0.8396574154537113,0.6150232353579037,0.22648790093629947
14,0,0,14,0.7971035663017176,0.6057773310297339,0.21518600037318655
15,0,0,15,0.8129218641140925,0.6198920917711167,0.21014131878981573
16,0,0,16,0.8032638642335306,0.6018052635112212,0.22435000721213963
17,0,0,17,0.8233400930677881,0.6057200174761822,0.2090640381565557
18,0,0,18,0.8228935293297444,0.6062326702346121,0.20798548535042838
19,0,0,19,0.7686331047060113,0.5829449175522293,0.21455080332453907
20,0,0,20,0.6789459475748443,0.5305865509203528,0.15596751697641428
21,0,0,21,0.7794759136178576,0.5892546043381393,0.21360349437284384
22,0,0,22,0.7436613692694296,0.564612946028365,0.19963236493809686
23,0,0,23,0.7794808415437411,0.5912731889432321,0.21857856400651582
24,0,0,24,0.7403722820815405,0.5855941680721701,0.21298086289068435
25,0,0,25,0.8186164845527664,0.6046478764125174,0.20397825953096432
26,0,0,26,0.7934131688196271,0.6080170868988861,0.202403315744008
27,0,0,27,0.7904119062805253,0.6092956180496117,0.2076008959279912
28,0,0,28,0.8173945337247058,0.6039765473344176,0.202807437316867
29,0,0,29,0.8406514546255508,0.6150376500135933,0.21549650265039724
30,0,0,30,0.815655156105553,0.6057858050242214,0.21119010771222813
31,0,0,31,0.7801702923253389,0.6031359502219166,0.2128538234264316
32,0,0,32,0.7802809989089342,0.5968544076342358,0.2201660325026713
33,0,0,33,0.8142009235516069,0.608014714062327,0.21064775084771412
34,0,0,34,0.7790333276012251,0.5975826394118189,0.2138955944400119
35,0,0,35,0.8270506551421148,0.616972197231413,0.2250846266831083
36,0,0,36,0.813808399300014,0.6110709997653492,0.215533873481966
37,0,0,37,0.8243720436162489,0.6017099029729678,0.1962781713261254
38,0,0,38,0.7977985820638571,0.596842168507833,0.2054031581989911
39,0,0,39,0.7997590702049681,0.6015962685359448,0.21406667022344003
40,0,0,40,0.8325813332325545,0.6151683282621989,0.21198501410260762
41,0,0,41,0.8044443172951594,0.6018068494889286,0.2217988331592924
42,0,0,42,0.8280138054355946,0.6111093800024578,0.2200813106587139
43,0,0,43,0.8257513066844158,0.6045388999497119,0.21161548904367236
44,0,0,44,0.7973590182509871,0.5973673285128815,0.2158539370382021
45,0,0,45,0.8133602690410717,0.6031514167266099,0.21136850081173794
46,0,0,46,0.8396080150407548,0.6166548472927699,0.2176314278297705
47,0,0,47,0.8047515295849919,0.5975754216038506,0.21582722542938004
48,0,0,48,0.8251272555885143,0.6046625865933549,0.21037584980175378
49,0,0,49,0.7945285390744685,0.5976177593760903,0.21332126584190575
50,0,0,50,0.8216520046381033,0.6079024741721393,0.2114278178695506
51,0,0,51,0.830893484307502,0.6150832763211306,0.21260294634304241
52,0,0,52,0.8187764356260361,0.6061767390289894,0.21114652851012308
53,0,0,53,0.8236222968655306,0.6039808090281333,0.21188216658496473
54,0,0,54,0.7919178789440844,0.5950439818024468,0.2072073127421949
55,0,0,55,0.8250354320824869,0.6048269858992675,0.21845998414299944
56,0,0,56,0.8222859469298412,0.6092643013741568,0.21680459838189553
57,0,0,57,0.8582533724970365,0.6144536888471236,0.217548079190896
58,0,0,58,0.7952958928651345,0.6046789210904457,0.19950828481090319
59,0,0,59,0.8112533958606731,0.6029817402902468,0.20518877246427547
60,0,0,60,0.8172677898714993,0.6092698366344539,0.20687608703365043
61,0,0,61,0.8123735750792511,0.6057576114783696,0.2124278846442623
62,0,0,62,0.8380669441720331,0.6128759752973326,0.20858492521012145
63,0,0,63,0.8399284823379942,0.6166099428913433,0.2085270236858265
64,0,0,64,0.8104643413931003,0.6025413900306258,0.21645486684012508
65,0,0,65,0.839075894083201,0.6208242639720887,0.21432283572830407
66,0,0,66,0.8518181172835663,0.6185448833619455,0.2143019981083297
67,0,0,67,0.8283328122296106,0.6092760251003265,0.21774490196329588
68,0,0,68,0.8239760403798501,0.6110573138873284,0.210873591531162
69,0,0,69,0.8637774465543414,0.6173886195205824,0.21107544714705093
70,0,0,70,0.8387704314846804,0.6184246540372915,0.21521442984715067
71,0,0,71,0.8627184195095133,0.6162629578983093,0.21863664743107505
72,0,0,72,0.8560575755705884,0.6191605975420308,0.21807522837823978
73,0,0,73,0.8457828119060045,0.6185766691085841,0.21741785046577783
74,0,0,74,0.8613220233064582,0.6187387649224357,0.2147060130599003
75,0,0,75,0.8654953709126388,0.6187830280598333,0.21897692517205378
76,0,0,76,0.8204430704999978,0.618420134025415,0.22085163499419308
77,0,0,77,0.8413375917276462,0.6185743778075559,0.21937123476291018
78,0,0,78,0.8592880848404405,0.6144842837266038,0.2133864677318515
79,0,0,79,0.8176229987603484,0.6191998848376311,0.22248716181173098
80,0,0,80,0.8081025057502074,0.6079169123713319,0.21249819314119991
81,0,0,81,0.4742450032407072,0.4646264404495442,0.14977120654872642
82,0,0,82,0.8254344179892874,0.6079131878484847,0.21309039213758008
83,0,0,83,0.773785349934053,0.5950526711291388,0.21133736686477547
84,0,0,84,0.7962416755621888,0.5895418139454143,0.22096936565967618
85,0,0,85,0.8503725932073793,0.6185443343007809,0.22057335575188902
86,0,0,86,0.7981161092836841,0.5983369024965037,0.21678191611924563
87,0,0,87,0.798450456983701,0.6044204721499346,0.21376041506236795
88,0,0,88,0.7269364504872193,0.5526391062507717,0.1840108219961033
89,0,0,89,0.7822179174870734,0.5968274198136452,0.2178015256910587
90,0,0,90,0.7945703525562688,0.5968386493547495,0.21371098854503587
91,0,0,91,0.8206233580023925,0.6079447345371436,0.19235724495363346
92,0,0,92,0.8267369897357749,0.6079308504727854,0.21047258543835665
93,0,0,93,0.7566924481159807,0.5676561475818485,0.19188948699608915
94,0,0,94,0.7215705894853777,0.57369666663315,0.21021954644081808
95,0,0,95,0.8299231314934024,0.6061626112297647,0.20726465494921104
96,0,0,96,0.8206029115866915,0.6057985724009048,0.20701445700533366
97,0,0,97,0.8480771079940849,0.6158466118380113,0.22461319078154063
98,0,0,98,0.7998723179234186,0.5968470969541425,0.20779002798010943
99,0,0,99,0.7644646890895008,0.5676249339644948,0.19290795767886287
100,0,0,100,0.8086053799514186,0.6042785369405126,0.21022366835917453
101,0,0,101,0.7906727501636176,0.5917512324642809,0.2182182818827004
102,0,0,102,0.8472525928176802,0.618393706304691,0.22051410138445923
103,0,0,103,0.8343252369561295,0.6061943909526871,0.20460052056860167
104,0,0,104,0.8344575919998225,0.6128619549940753,0.2077822600636405
105,0,0,105,0.799283165918665,0.5932546006195766,0.20245605474420256
106,0,0,106,0.8156591699337633,0.6163076797020234,0.2063617952439143
107,0,0,107,0.8667348855223853,0.6179455174243065,0.21607732856810635
108,0,0,108,0.8220496546129386,0.6013552122405897,0.22173351680918205
109,0,0,109,0.8196867632572533,0.6013945941272049,0.20379423838015445
110,0,0,110,0.858140380205894,0.6124607597848614,0.2148431455620485
111,0,0,111,0.8361352582041623,0.6207996562198523,0.21988872646496216
112,0,0,112,0.7949144298801754,0.603128482531332,0.20985458007930174
113,0,0,113,0.838774395078328,0.615156283827269,0.22442884582810854
114,0,0,114,0.8353187720864724,0.6129012163451623,0.19864713997200723
115,0,0,115,0.8436418330656577,0.6151249832545207,0.20947039081576949
116,0,0,116,0.8032671902265864,0.6016800419421526,0.2174882240928073
117,0,0,117,0.843709630962768,0.6124313744948819,0.22029527933544427
118,0,0,118,0.8579861917141403,0.6187463564529425,0.2064836787159406
119,0,0,119,0.8205302656017326,0.6046182679249816,0.20278671220454267
120,0,0,120,0.8050853227892234,0.5976037646347444,0.21518293524234733
121,0,0,121,0.7295380148688894,0.5485857399593896,0.1982135395014403
122,0,0,122,0.7461317906000136,0.560581785859884,0.20257869462299424
123,0,0,123,0.8431056436049358,0.6150523758626206,0.22362375739443116
124,0,0,124,0.8363008702868058,0.611128304770947,0.2212261947701351
125,0,0,125,0.8224245123952729,0.6062185213306569,0.21020227357699967
126,0,0,126,0.8231975569845376,0.6043153448720788,0.20570126159992483
127,0,0,127,0.8271166123466384,0.6045974841560348,0.20803900294554797
128,0,0,128,0.8357020050231166,0.6150598365922032,0.21102619823619898
129,0,0,129,0.8029807095660197,0.6031106280617708,0.20967206899788005
130,0,0,130,0.8181935528898673,0.6016073084439032,0.21391597888668176
131,0,0,131,0.8479121142980668,0.615829626486598,0.2137565191483146
132,0,0,132,0.8224230864504329,0.604398800165067,0.2085454405154831
133,0,0,133,0.727033578406608,0.5526165862634472,0.18350951807355798
134,0,0,134,0.8172703221071764,0.6079705267689934,0.1910464696851232
135,0,0,135,0.7108115919491026,0.5526056653702238,0.17938477606409897
136,0,0,136,0.7436253954510512,0.5546464098553513,0.19549436899954273
137,0,0,137,0.7476798161679453,0.5572192815184069,0.20090822882097167
138,0,0,138,0.6525460971041075,0.5203602509145596,0.17601884019165517
139,0,0,139,0.8244051733472122,0.6128651100082102,0.20891161052761162
140,0,0,140,0.6796997249351744,0.5396648225908985,0.1604369359529675
141,0,0,141,0.79425651902924,0.5798976360041843,0.20500294052825857
142,0,0,142,0.8577130408743339,0.6163025533995982,0.21242593805678964
143,0,0,143,0.7997285545305566,0.6079118684780977,0.20890103059287515
144,0,0,144,0.7108972637320372,0.5392428028102733,0.17792612793282647
145,0,0,145,0.7907330743246089,0.5916485323986004,0.21093068364898918
146,0,0,146,0.851705483983072,0.6185519313532494,0.22603493285352327
